date,match,score,vrai_resultat,pronostic,correct,proba_1,proba_N,proba_2
2022-11-20,Qatar vs Ecuador,0-2,2,2,True,26.800262,34.121532,39.0782
2022-11-21,United States vs Wales,1-1,N,N,True,35.36894,50.062298,14.568766
2022-11-21,England vs Iran,6-2,1,1,True,44.257523,25.884617,29.857857
2022-11-21,Senegal vs Netherlands,0-2,2,2,True,6.9142094,28.888365,64.19742
2022-11-22,Argentina vs Saudi Arabia,1-2,2,1,False,55.98601,32.372513,11.641477
2022-11-22,Mexico vs Poland,0-0,N,N,True,27.425936,46.096645,26.477417
2022-11-22,Denmark vs Tunisia,0-0,N,N,True,20.826588,42.855663,36.31775
2022-11-22,France vs Australia,4-1,1,1,True,44.474445,40.850468,14.675084
2022-11-23,Germany vs Japan,1-2,2,N,False,26.20971,38.291725,35.498558
2022-11-23,Spain vs Costa Rica,7-0,1,1,True,68.979996,19.475946,11.544052
2022-11-23,Morocco vs Croatia,0-0,N,2,False,6.095626,27.687412,66.216965
2022-11-23,Belgium vs Canada,1-0,1,1,True,42.076256,39.6267,18.297045
2022-11-24,Uruguay vs South Korea,0-0,N,N,True,31.925196,39.807827,28.266972
2022-11-24,Portugal vs Ghana,3-2,1,1,True,54.470108,32.30789,13.2219925
2022-11-24,Brazil vs Serbia,2-0,1,1,True,38.691296,38.246647,23.062056
2022-11-24,Switzerland vs Cameroon,1-0,1,N,False,15.9397545,51.336914,32.72333
2022-11-25,Qatar vs Senegal,1-3,2,2,True,12.638445,29.671562,57.689995
2022-11-25,Netherlands vs Ecuador,1-1,N,1,False,45.651127,27.972216,26.37666
2022-11-25,Wales vs Iran,0-2,2,2,True,10.625522,23.966269,65.40821
2022-11-25,England vs United States,0-0,N,1,False,65.176125,17.600477,17.223396
2022-11-26,Argentina vs Mexico,2-0,1,1,True,53.84088,23.125864,23.033253
2022-11-26,Tunisia vs Australia,0-1,2,2,True,19.386806,31.340048,49.273144
2022-11-26,France vs Denmark,2-1,1,1,True,49.68436,27.92708,22.388563
2022-11-26,Poland vs Saudi Arabia,2-0,1,N,False,22.429281,52.264576,25.30614
2022-11-27,Croatia vs Canada,4-1,1,1,True,42.181408,31.733433,26.08516
2022-11-27,Belgium vs Morocco,0-2,2,2,True,13.1486635,36.294453,50.55688
2022-11-27,Spain vs Germany,1-1,N,2,False,31.947935,25.353035,42.699028
2022-11-27,Japan vs Costa Rica,0-1,2,N,False,24.221619,50.038208,25.74018
2022-11-28,Brazil vs Switzerland,1-0,1,2,False,35.357403,26.638412,38.00418
2022-11-28,South Korea vs Ghana,2-3,2,N,False,29.4183,47.491646,23.090054
2022-11-28,Portugal vs Uruguay,2-0,1,1,True,40.618355,26.236752,33.144894
2022-11-28,Cameroon vs Serbia,3-3,N,2,False,18.045408,38.497402,43.45719
2022-11-29,Wales vs England,0-3,2,2,True,2.6215754,15.133594,82.244835
2022-11-29,Iran vs United States,0-1,2,2,True,18.968256,20.03861,60.99313
2022-11-29,Ecuador vs Senegal,1-2,2,2,True,10.320106,29.590363,60.089535
2022-11-29,Qatar vs Netherlands,0-2,2,2,True,6.103136,21.814425,72.08244
2022-11-30,Australia vs Denmark,1-0,1,2,False,13.047992,23.9196,63.032413
2022-11-30,Tunisia vs France,1-0,1,2,False,9.145789,13.855299,76.99892
2022-11-30,Poland vs Argentina,0-2,2,2,True,3.9872837,23.617867,72.39485
2022-11-30,Saudi Arabia vs Mexico,1-2,2,2,True,8.55412,19.26772,72.17816
2022-12-01,Japan vs Spain,2-1,1,2,False,6.2032723,27.389658,66.40707
2022-12-01,Costa Rica vs Germany,2-4,2,2,True,8.878093,20.280771,70.84114
2022-12-01,Croatia vs Belgium,0-0,N,2,False,20.322466,30.970297,48.707233
2022-12-01,Canada vs Morocco,1-2,2,2,True,14.147514,34.984188,50.8683
2022-12-02,Serbia vs Switzerland,2-3,2,2,True,14.901252,24.33961,60.75914
2022-12-02,Cameroon vs Brazil,1-0,1,2,False,3.743014,27.500175,68.75681
2022-12-02,Ghana vs Uruguay,0-2,2,2,True,5.6924286,16.624537,77.68304
2022-12-02,South Korea vs Portugal,2-1,1,2,False,5.6789703,29.025818,65.295204
2022-12-03,Argentina vs Australia,2-1,1,1,True,39.644318,37.87107,22.484604
2022-12-03,Netherlands vs United States,3-1,1,2,False,29.448526,16.943926,53.60754
2022-12-04,France vs Poland,3-1,1,1,True,51.914223,34.187843,13.897935
2022-12-04,England vs Senegal,3-0,1,N,False,37.234386,40.237595,22.528025
2022-12-05,Japan vs Croatia,1-1,N,2,False,21.693207,30.279955,48.02684
2022-12-05,Brazil vs South Korea,4-1,1,1,True,52.94255,29.158062,17.899393
2022-12-06,Morocco vs Spain,0-0,N,2,False,8.325245,24.890083,66.784676
2022-12-06,Portugal vs Switzerland,6-1,1,2,False,32.16736,30.678839,37.153805
2022-12-09,Croatia vs Brazil,1-1,N,2,False,12.584694,43.244682,44.170628
2022-12-09,Netherlands vs Argentina,2-2,N,2,False,9.174744,16.06891,74.75635
2022-12-10,England vs France,1-2,2,2,True,31.728088,33.342293,34.929615
2022-12-10,Morocco vs Portugal,1-0,1,2,False,8.832914,29.615025,61.55206
2022-12-13,Argentina vs Croatia,3-0,1,1,True,42.055016,33.11203,24.832954
2022-12-14,France vs Morocco,2-0,1,1,True,41.661823,28.937813,29.40036
2022-12-17,Croatia vs Morocco,2-1,1,2,False,26.7737,29.297039,43.92926
2022-12-18,Argentina vs France,3-3,N,2,False,28.384441,21.726374,49.88919
