date,match,score,vrai_resultat,pronostic,correct,proba_1,proba_N,proba_2,proba_elo_dom
2018-06-14,Russia vs Saudi Arabia,5-0,1,2,False,26.734158,32.064445,41.20139,21.85
2018-06-15,Egypt vs Uruguay,0-1,2,2,True,6.0733504,40.83799,53.088657,34.699999999999996
2018-06-15,Morocco vs Iran,0-1,2,N,False,27.04229,46.3357,26.622004,69.19
2018-06-15,Portugal vs Spain,3-3,N,2,False,36.073772,26.808247,37.11798,34.339999999999996
2018-06-16,Peru vs Denmark,0-1,2,2,True,13.6815605,23.962173,62.356262,27.900000000000002
2018-06-16,Croatia vs Nigeria,2-0,1,N,False,19.435545,46.696636,33.867813,68.13
2018-06-16,Argentina vs Iceland,1-1,N,1,False,56.96367,31.068098,11.96823,95.48
2018-06-16,France vs Australia,2-1,1,1,True,54.158855,26.601755,19.239386,84.65
2018-06-17,Costa Rica vs Serbia,0-1,2,2,True,13.127485,26.934225,59.938293,43.03
2018-06-17,Germany vs Mexico,0-1,2,2,True,29.677559,26.170502,44.151936,57.05
2018-06-17,Brazil vs Switzerland,1-1,N,N,True,34.914925,41.293236,23.791842,65.55
2018-06-18,Sweden vs South Korea,1-0,1,N,False,23.132519,44.122044,32.74544,39.519999999999996
2018-06-18,Belgium vs Panama,3-0,1,1,True,60.418148,29.36847,10.213382,75.35
2018-06-18,Tunisia vs England,1-2,2,2,True,5.266277,26.390568,68.343155,12.2
2018-06-19,Colombia vs Japan,1-2,2,2,True,21.773075,29.980406,48.24652,54.690000000000005
2018-06-19,Poland vs Senegal,1-2,2,2,True,21.473585,38.95256,39.57386,28.360000000000003
2018-06-19,Russia vs Egypt,3-1,1,N,False,9.980953,59.036903,30.982145,11.0
2018-06-20,Portugal vs Morocco,1-0,1,1,True,47.659447,24.479895,27.860657,51.15
2018-06-20,Uruguay vs Saudi Arabia,1-0,1,N,False,38.197926,44.33537,17.466713,80.97999999999999
2018-06-20,Iran vs Spain,0-1,2,2,True,6.412535,29.254028,64.333435,18.2
2018-06-21,Denmark vs Australia,1-1,N,2,False,24.33058,32.426567,43.242847,55.75
2018-06-21,France vs Peru,1-0,1,1,True,46.380856,31.338528,22.280611,91.88
2018-06-21,Argentina vs Croatia,0-3,2,1,False,48.23312,19.423689,32.343185,71.26
2018-06-22,Brazil vs Costa Rica,2-0,1,1,True,60.84635,21.493246,17.660402,84.99
2018-06-22,Nigeria vs Iceland,2-0,1,N,False,26.945103,49.859573,23.19533,79.93
2018-06-22,Serbia vs Switzerland,1-2,2,2,True,8.530755,38.787785,52.681458,30.78
2018-06-23,Germany vs Sweden,2-1,1,1,True,40.874832,34.753986,24.371181,77.58
2018-06-23,South Korea vs Mexico,1-2,2,2,True,15.751735,28.534967,55.713303,37.01
2018-06-23,Belgium vs Tunisia,5-2,1,1,True,43.062347,34.536068,22.401585,80.97999999999999
2018-06-24,England vs Panama,6-1,1,1,True,72.52346,19.270472,8.206065,83.78999999999999
2018-06-24,Japan vs Senegal,2-2,N,2,False,11.073304,34.83003,54.09667,45.9
2018-06-24,Poland vs Colombia,0-3,2,2,True,12.808177,39.99996,47.19186,27.88
2018-06-25,Russia vs Uruguay,0-3,2,N,False,11.711828,45.773895,42.514275,6.16
2018-06-25,Saudi Arabia vs Egypt,2-1,1,2,False,15.382284,37.94666,46.67106,30.65
2018-06-25,Spain vs Morocco,2-2,N,1,False,46.014973,30.121014,23.864014,66.67999999999999
2018-06-25,Iran vs Portugal,1-1,N,2,False,8.619831,30.073643,61.30652,29.84
2018-06-26,Iceland vs Croatia,1-2,2,2,True,10.061307,21.668173,68.27052,10.51
2018-06-26,Nigeria vs Argentina,1-2,2,2,True,5.050673,25.465536,69.483795,15.870000000000001
2018-06-26,Denmark vs France,0-0,N,2,False,14.911285,36.186096,48.902622,18.59
2018-06-26,Australia vs Peru,0-2,2,N,False,21.353355,43.869316,34.777336,67.23
2018-06-27,South Korea vs Germany,2-0,1,2,False,7.641832,27.787071,64.57109,30.669999999999998
2018-06-27,Mexico vs Sweden,0-3,2,2,True,25.321556,35.26901,39.40944,72.25
2018-06-27,Serbia vs Brazil,0-2,2,2,True,8.700679,33.970203,57.329117,18.95
2018-06-27,Switzerland vs Costa Rica,2-2,N,N,True,32.650185,39.035408,28.314411,74.85000000000001
2018-06-28,Japan vs Poland,0-1,2,N,False,21.986576,51.445232,26.56819,68.19
2018-06-28,Senegal vs Colombia,0-1,2,2,True,16.260595,39.92877,43.81064,49.41
2018-06-28,Panama vs Tunisia,1-2,2,N,False,10.623114,59.31505,30.061832,58.209999999999994
2018-06-28,England vs Belgium,0-1,2,2,True,30.278084,25.562975,44.158943,62.839999999999996
2018-06-30,Uruguay vs Portugal,2-1,1,2,False,6.489727,26.445686,67.06458,37.230000000000004
2018-06-30,France vs Argentina,4-3,1,2,False,22.609432,26.972046,50.418518,50.36000000000001
2018-07-01,Russia vs Spain,1-1,N,2,False,3.0667038,9.31267,87.62063,2.0
2018-07-01,Croatia vs Denmark,1-1,N,N,True,7.8930454,57.43882,34.66814,63.51
2018-07-02,Brazil vs Mexico,2-0,1,1,True,44.665886,33.480896,21.853224,61.33
2018-07-02,Belgium vs Japan,3-2,1,1,True,34.346478,31.649033,34.004494,60.529999999999994
2018-07-03,Sweden vs Switzerland,1-0,1,2,False,9.862327,39.209957,50.927715,31.540000000000003
2018-07-03,Colombia vs England,1-1,N,2,False,10.307513,33.331833,56.36065,31.759999999999998
2018-07-06,Uruguay vs France,0-2,2,2,True,5.7929535,36.607243,57.599808,23.580000000000002
2018-07-06,Brazil vs Belgium,1-2,2,2,True,31.180712,32.198273,36.621017,53.800000000000004
2018-07-07,Russia vs Croatia,2-2,N,2,False,9.171519,43.25584,47.572643,4.8500000000000005
2018-07-07,Sweden vs England,0-2,2,2,True,6.0608006,39.763496,54.175697,14.29
2018-07-10,France vs Belgium,1-0,1,2,False,25.357931,18.664673,55.977398,69.44
2018-07-11,Croatia vs England,2-1,1,2,False,8.589133,28.572222,62.838642,34.82
2018-07-14,Belgium vs England,2-0,1,2,False,12.823823,27.1092,60.066975,37.16
2018-07-15,France vs Croatia,4-2,1,1,True,57.72549,15.873271,26.401243,71.55
