date,match,score,vrai_resultat,pronostic,correct,proba_1,proba_N,proba_2
2022-11-20,Qatar vs Ecuador,0-2,2,1,False,40.329296,33.4196,26.251104
2022-11-21,United States vs Wales,1-1,N,1,False,45.972176,34.609207,19.418623
2022-11-21,England vs Iran,6-2,1,1,True,55.95231,21.900291,22.147392
2022-11-21,Senegal vs Netherlands,0-2,2,2,True,8.084421,31.04184,60.873734
2022-11-22,Argentina vs Saudi Arabia,1-2,2,1,False,66.130714,25.365852,8.503431
2022-11-22,Mexico vs Poland,0-0,N,N,True,28.007048,45.3966,26.59635
2022-11-22,Denmark vs Tunisia,0-0,N,N,True,17.97548,44.561325,37.463196
2022-11-22,France vs Australia,4-1,1,1,True,46.931858,28.511099,24.557047
2022-11-23,Germany vs Japan,1-2,2,1,False,35.438152,33.926773,30.63507
2022-11-23,Spain vs Costa Rica,7-0,1,1,True,69.81088,18.67588,11.513235
2022-11-23,Morocco vs Croatia,0-0,N,2,False,11.836592,35.609955,52.55345
2022-11-23,Belgium vs Canada,1-0,1,1,True,47.48532,27.991045,24.52363
2022-11-24,Uruguay vs South Korea,0-0,N,N,True,33.508877,48.509865,17.981264
2022-11-24,Portugal vs Ghana,3-2,1,1,True,52.055096,34.18927,13.755631
2022-11-24,Brazil vs Serbia,2-0,1,1,True,58.39854,29.174566,12.426891
2022-11-24,Switzerland vs Cameroon,1-0,1,N,False,22.101349,42.894154,35.0045
2022-11-25,Qatar vs Senegal,1-3,2,N,False,21.369553,44.789932,33.840515
2022-11-25,Netherlands vs Ecuador,1-1,N,1,False,48.53619,30.991003,20.472809
2022-11-25,Wales vs Iran,0-2,2,2,True,11.722856,31.895271,56.38187
2022-11-25,England vs United States,0-0,N,1,False,65.127716,19.785769,15.086518
2022-11-26,Argentina vs Mexico,2-0,1,1,True,65.54946,22.236244,12.214293
2022-11-26,Tunisia vs Australia,0-1,2,N,False,21.203323,44.718975,34.077698
2022-11-26,France vs Denmark,2-1,1,1,True,36.270912,34.18049,29.548601
2022-11-26,Poland vs Saudi Arabia,2-0,1,2,False,23.20949,38.350418,38.44009
2022-11-27,Croatia vs Canada,4-1,1,1,True,44.071873,25.92186,30.00627
2022-11-27,Belgium vs Morocco,0-2,2,2,True,15.942566,33.746315,50.311123
2022-11-27,Spain vs Germany,1-1,N,1,False,37.956284,27.153582,34.890133
2022-11-27,Japan vs Costa Rica,0-1,2,N,False,32.62702,47.85643,19.51655
2022-11-28,Brazil vs Switzerland,1-0,1,1,True,52.825035,26.434452,20.740519
2022-11-28,South Korea vs Ghana,2-3,2,N,False,31.311098,48.455753,20.233149
2022-11-28,Portugal vs Uruguay,2-0,1,1,True,36.951584,32.295692,30.752722
2022-11-28,Cameroon vs Serbia,3-3,N,2,False,19.094095,34.96386,45.94204
2022-11-29,Wales vs England,0-3,2,2,True,3.2591078,15.075792,81.6651
2022-11-29,Iran vs United States,0-1,2,2,True,20.767542,27.665306,51.567154
2022-11-29,Ecuador vs Senegal,1-2,2,N,False,12.815409,55.37229,31.812296
2022-11-29,Qatar vs Netherlands,0-2,2,2,True,11.202166,26.347694,62.45014
2022-11-30,Australia vs Denmark,1-0,1,2,False,12.553319,30.131145,57.315533
2022-11-30,Tunisia vs France,1-0,1,2,False,10.3449335,33.952736,55.702335
2022-11-30,Poland vs Argentina,0-2,2,2,True,3.6608398,19.553234,76.78592
2022-11-30,Saudi Arabia vs Mexico,1-2,2,2,True,13.500698,33.269203,53.230103
2022-12-01,Japan vs Spain,2-1,1,2,False,6.128857,29.64787,64.223274
2022-12-01,Costa Rica vs Germany,2-4,2,2,True,10.76738,27.120293,62.11233
2022-12-01,Croatia vs Belgium,0-0,N,2,False,15.9735565,39.597916,44.42853
2022-12-01,Canada vs Morocco,1-2,2,2,True,14.317435,33.493225,52.18934
2022-12-02,Serbia vs Switzerland,2-3,2,2,True,20.660688,31.62277,47.71654
2022-12-02,Cameroon vs Brazil,1-0,1,2,False,3.389071,16.205673,80.40525
2022-12-02,Ghana vs Uruguay,0-2,2,2,True,6.7900686,25.747738,67.4622
2022-12-02,South Korea vs Portugal,2-1,1,2,False,4.829203,28.959175,66.211624
2022-12-03,Argentina vs Australia,2-1,1,1,True,50.70739,33.210945,16.081667
2022-12-03,Netherlands vs United States,3-1,1,1,True,47.479427,18.446056,34.074516
2022-12-04,France vs Poland,3-1,1,1,True,43.416954,37.939064,18.643978
2022-12-04,England vs Senegal,3-0,1,1,True,45.415,38.162533,16.422466
2022-12-05,Japan vs Croatia,1-1,N,2,False,10.494305,36.670532,52.83516
2022-12-05,Brazil vs South Korea,4-1,1,1,True,57.672787,31.752834,10.574383
2022-12-06,Morocco vs Spain,0-0,N,2,False,12.921866,31.282816,55.79532
2022-12-06,Portugal vs Switzerland,6-1,1,1,True,40.77021,35.88214,23.34765
2022-12-09,Croatia vs Brazil,1-1,N,N,True,7.773429,53.97624,38.25033
2022-12-09,Netherlands vs Argentina,2-2,N,2,False,9.050575,30.2527,60.69672
2022-12-10,England vs France,1-2,2,N,False,27.663807,36.40519,35.931004
2022-12-10,Morocco vs Portugal,1-0,1,2,False,12.353882,36.38067,51.26545
2022-12-13,Argentina vs Croatia,3-0,1,N,False,29.157522,48.857746,21.984728
2022-12-14,France vs Morocco,2-0,1,1,True,39.16853,30.336874,30.4946
2022-12-17,Croatia vs Morocco,2-1,1,N,False,16.683645,45.959335,37.35702
2022-12-18,Argentina vs France,3-3,N,N,True,20.885078,40.76147,38.35345
